,owner,country_of_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,number_of_bags,bag_weight,harvest_year,grading_date,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,total_cup_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact
859,juan luis alvarado romero,Guatemala,las merceditas,11/23/0514,beneficio ixchel,11/23/0514,"unex guatemala, s.a.",1700,san marcos,ANGEL DE LEON,50,69 kg,2017,"June 22nd, 2017",Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.33,10.0,10.0,10.0,81.75,0.11,0,1.0,Green,1,"June 22nd, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95
860,"sunvirtue co., ltd.",Vietnam,apollo estate,,apollo estate,,"sunvirtue co., ltd.",1040,vietnam,Richard Yeh,1,2 kg,2014,"December 21st, 2015",Caturra,Washed / Wet,7.0,7.08,7.33,7.5,7.5,7.33,10.0,10.0,10.0,81.75,0.12,0,0.0,Bluish-Green,0,"December 20th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
861,ngorogoro convenant estate,"Tanzania, United Republic Of",ngorogoro convenant estate,,ngorogoro convenant estate,C15,ngorogoro convenant estate,1500 - 1700,ngorogoro,Ngorogoro Convenant Estate,1,60 kg,2014,"January 8th, 2015",Other,Washed / Wet,7.42,7.42,7.42,7.42,7.33,7.33,10.0,10.0,10.0,81.75,0.12,0,0.0,Bluish-Green,4,"January 8th, 2016",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea
862,cafe politico,Brazil,,,,2-1495-529,cafe politico,,,,1,5 lbs,2013,"August 25th, 2014",,Natural / Dry,7.17,7.25,7.17,7.25,7.42,8.25,10.0,10.0,10.0,81.75,0.1,0,0.0,Bluish-Green,1,"August 25th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
863,saul m. hernandez ramirez,Mexico,los magueyes,,en santa maria temaxcalapa,1702772155,,774,"tenango de doria, hidalgo","PEREZ LEMUS, FELIX",10,1 kg,2012,"September 27th, 2012",Bourbon,Washed / Wet,7.5,7.5,7.33,7.42,7.25,7.25,10.0,10.0,10.0,81.75,0.13,2,0.0,None,9,"September 27th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
864,sergio landa alarcon,Mexico,finca tepictla,,tepictla y xalapa veracruz,1104372561,,1250,tepictla,SERGIO LANDA ALARCON,100,1 kg,2012,"September 10th, 2012",Mundo Novo,Washed / Wet,7.42,7.5,7.17,7.67,7.33,7.42,10.0,10.0,10.0,81.75,0.13,0,0.0,Green,23,"September 10th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
865,diego manuel woolrich ramirez,Mexico,"arroyo triste, arroyo triste, san jose vista hermosa",,"arroyo triste, arroyo triste, san jose vista hermosa","2037240, 2037150,1400213685",,1100,oaxaca,"CENEN TORRES CORTES, AVELINO TORES CORTES, JUAN VENTURA GUZMAN",42,1 kg,2012,"September 4th, 2012",Typica,Washed / Wet,7.42,7.5,7.33,7.58,7.33,7.33,10.0,10.0,10.0,81.75,0.11,0,0.0,Green,1,"September 4th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
866,armando luis pohlenz martinez,Mexico,,,finca custepec,2676,beneficio custepec s.a. de c.v.,1550,la concordia,ARMANDO LUIS POHLENZ MARTINEZ,250,1 kg,2012,"August 30th, 2012",Caturra,Washed / Wet,7.33,7.42,7.33,7.67,7.42,7.25,10.0,10.0,10.0,81.75,0.12,10,0.0,Green,14,"August 30th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
867,enrique eduardo lopez aguilar,Mexico,santa cruz - pante doña graciela,,,PCO-031106-CF7,finca las nubes,1650,la concordia,GRACIELA AGUILAR PERALTA,28,1 kg,2012,"June 6th, 2012",Typica,Washed / Wet,7.5,7.42,7.25,7.33,7.67,7.25,10.0,10.0,10.0,81.75,0.12,0,0.0,,1,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
868,exportadora de cafe condor s.a,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0059,exportadora de cafe condor s.a,1750 msnm,huila,,250,70 kg,2011,"December 22nd, 2011",Caturra,Washed / Wet,7.33,7.42,7.33,7.33,7.5,7.67,10.0,10.0,10.0,81.75,0.0,0,0.0,Green,1,"December 21st, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
869,racafe & cia s.c.a,Colombia,,,,3-37-2930,,de 1600 a 1950 msnm,huila,La Plata,275,70 kg,Mayo a Julio,"October 4th, 2011",,,7.42,7.58,6.92,7.08,7.25,8.0,10.0,10.0,10.0,81.75,0.08,0,0.0,,0,"October 3rd, 2012",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
870,ipanema coffees,Brazil,fazenda capoeirnha,019/17,dry mill,002/1660/0079,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,2017 / 2018,"October 20th, 2017",Bourbon,Natural / Dry,7.42,7.5,7.25,7.5,7.5,7.25,10.0,10.0,10.0,81.67,0.11,0,0.0,Green,5,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980
871,juan luis alvarado romero,Guatemala,las merceditas,11/23/0640,beneficio ixchel,11/23/0640,"unex guatemala, s.a.",1700,san marcos,ANGEL DE LEON,50,69 kg,2017,"August 22nd, 2017",Bourbon,Washed / Wet,7.42,7.42,7.08,7.42,7.33,7.42,10.0,10.0,10.0,81.67,0.1,0,0.0,Green,1,"August 22nd, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95
872,juan luis alvarado romero,Guatemala,la esmeralda,11/23/0701,beneficio ixchel,11/23/0701,"unex guatemala, s.a.",4000,santa rosa,JESUS RAMIREZ,80,69 kg,2017,"June 5th, 2017",Bourbon,Washed / Wet,7.42,7.33,7.17,7.67,7.33,7.42,10.0,10.0,10.0,81.67,0.12,0,1.0,Green,3,"June 5th, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95
873,cadexsa,Honduras,bethel,340,dry mill,13-63-174,cadexsa,1450,marcala,JOSE OMAR ACOSTA,275,69 kg,2016,"May 2nd, 2016",Catuai,Washed / Wet,7.58,7.5,7.33,7.33,7.42,7.25,10.0,10.0,10.0,81.67,0.11,0,0.0,Blue-Green,2,"May 2nd, 2017",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880
874,taylor winch (coffee) ltd.,"Tanzania, United Republic Of",ngima,4783,dae ltd,033/0004/0191,volcafe/taylorwinch tanzania ltd,1800,mbinga,Ngima Amcos,320,60 kg,2016,"April 27th, 2016",,,7.17,7.33,7.33,7.42,7.5,7.33,10.0,10.0,10.0,81.67,0.0,0,0.0,Green,1,"April 27th, 2017",Tanzanian Coffee Board,047484d5700c44f033915e632e0c6013d985cd79,127e651fc8b7c35802268599656f2c76bf041b15
875,"comercial internacional exportadora, s.a.",Nicaragua,santa matilde,345725 / K1620088,dry mill,017/001/534,"comercial internacional exportadora, s.a.",,jinotega,Rolando Lacayo Cardenal,275,69 kg,,"March 11th, 2016",,,7.58,7.5,7.25,7.25,7.5,7.25,10.0,10.0,10.0,81.67,0.1,0,0.0,Green,1,"March 11th, 2017",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880
876,racafe & cia s.c.a,Colombia,,3-37-1367,bachue,3-37,racafe & cia s.c.a,,la plata,,165,70 kg,2016,"January 21st, 2016",,,7.75,7.75,7.75,7.67,5.25,7.83,10.0,10.0,10.0,81.67,0.0,0,1.0,,1,"January 20th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab
877,ipanema coffees,Brazil,rio verde,,ipanema comercial e exportadora sa,002/4177/0150,ipanema coffees,1,south of minas,Ipanema Agrícola SA,320,2 kg,2015/2016,"October 8th, 2015",Yellow Bourbon,Natural / Dry,7.25,7.75,6.92,7.42,7.5,7.58,10.0,10.0,10.0,81.67,0.0,0,0.0,Green,0,"October 7th, 2016",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980
878,dae ltd company,"Tanzania, United Republic Of",multiple,,dae ltd,C001,dae ltd company,1200-1800m,mbinga,DAE Ltd,20,60 kg,2014,"January 2nd, 2015",Other,Washed / Wet,7.42,7.33,7.25,7.42,7.5,7.42,10.0,10.0,10.0,81.67,0.12,0,0.0,Green,0,"January 2nd, 2016",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea
879,tembo coffee company ltd,"Tanzania, United Republic Of",ilomba 1,,tembo coffee company ltd,C39,tembo coffee company ltd,1700,"ilomba vilage, mbozi",Tembo Coffee Company Ltd,10,60 kg,2013,"December 15th, 2014",Other,Washed / Wet,7.33,7.33,7.5,7.25,7.42,7.33,10.0,10.0,10.0,81.67,0.12,0,0.0,Green,7,"December 15th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea
880,ipanema coffees,Brazil,rio verde,,ipanema coffees,002/4177/0161,ipanema coffees,1260,south of minas,Ipanema Agrícola SA,300,2 kg,2014/2015,"October 16th, 2014",Bourbon,Washed / Wet,7.25,7.42,7.25,7.5,7.5,7.42,10.0,10.0,10.0,81.67,0.1,0,0.0,Green,2,"October 16th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
881,chris finch,Indonesia,,,,15/1595/0021,volcafe specialty coffee,,bener meriah,,320,4 kg,2013,"May 23rd, 2014",Sumatra,Semi-washed / Semi-pulped,7.17,7.42,7.33,7.42,7.33,7.42,10.0,10.0,10.0,81.67,0.11,0,0.0,Bluish-Green,0,"May 23rd, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
882,,Honduras,gran manzana y el aguacate,,cigrah sps,13-111-192,cigrah,1400,comayagua,"Tomás Sosa, Juan Damaso",275,1 kg,2014,"May 16th, 2014",Caturra,Natural / Dry,7.5,7.33,7.5,7.5,7.17,7.17,10.0,10.0,10.0,81.67,0.1,0,0.0,Green,5,"May 16th, 2015",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880
883,"ceca, s.a.",Costa Rica,gamboa,,beneficio montañas del diamante,5-025-0135,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,275,69 kg,2013,"April 26th, 2014",Caturra,Washed / Wet,7.5,7.17,7.17,7.17,7.5,7.08,10.0,10.0,10.0,81.67,0.11,0,0.0,Green,3,"April 26th, 2015",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9
884,dane loraas,Mexico,,,,016-2022-0009,sustainable harvest,,veracruz,Huatusco,320,5 lbs,2014,"April 2nd, 2014",,Washed / Wet,7.42,7.42,7.67,8.0,7.58,7.5,9.33,9.33,10.0,81.67,0.0,0,0.0,Green,4,"April 2nd, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
885,cqi taiwan icp cqi台灣合作夥伴,Taiwan,mu he zi coffee 木盒子咖啡園,,mu he zi coffee 木盒子咖啡園,,blossom valley宸嶧國際,150 m,changhua baguashan 彰化市八卦山,Zhang ming fu 張明福,10,30 kg,2013/2014,"December 26th, 2013",Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.25,7.42,7.25,10.0,10.0,10.0,81.67,0.11,0,0.0,Green,0,"December 26th, 2014",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0
886,cqi taiwan icp cqi台灣合作夥伴,Taiwan,guo xin ka fei 國昕咖啡,,guo xin ka fei 國昕咖啡,,blossom valley宸嶧國際,750 m,nantou,Wu cai jin 吳蔡錦,10,30 kg,2013/2014,"December 26th, 2013",Typica,Washed / Wet,7.58,7.42,7.33,7.42,7.33,7.33,10.0,10.0,10.0,81.67,0.11,0,0.0,Green,0,"December 26th, 2014",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0
887,fredy gordillo reyes,Mexico,union ramal santa cruz,,union ramal santa cruz,2496,union ramal santa cruz spr de ri,1400,"la concordia, chiapas",UNION RAMAL SANTA CRUZ,310,1 kg,2013,"March 29th, 2013",Typica,Washed / Wet,7.5,7.42,7.08,7.58,7.33,7.33,10.0,10.0,10.0,81.67,0.12,0,0.0,Green,6,"March 29th, 2014",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
888,juan luis alvarado romero,Guatemala,finca el morito,,beneficio el morito,11/9768/01,finca el morito,5500-6000 psnm,jalapa,"CAFE MOLINO MONTERROSO P,J. ROBERTO",275,69 kg,2012,"October 5th, 2012",Bourbon,Washed / Wet,7.5,7.67,7.33,7.33,7.33,7.33,10.0,10.0,10.0,81.67,0.11,0,0.0,Green,4,"October 5th, 2013",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95
889,virginia gordillo gordillo,Mexico,finca cafetalera la suiza,,"municipio monte cristo de guerrero, chiapasmunicipio monte cristo de guerrero",0,"productora agricola y ganadera finca la suiza, s.p.r. de r.l. de c.v.",1650,tuxtla gutierrez,PRODUCTORA AGRICOLA Y GANADERA FINCA LA SUIZA,100,1 kg,2012,"September 11th, 2012",Typica,Washed / Wet,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10.0,10.0,81.67,0.13,1,0.0,Green,13,"September 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
890,jose luis munoz guerrero,Mexico,,,"yajalon, chiapas",0,,1400,yajalon,MAYA BINIK,15,1 kg,2012,"August 30th, 2012",Bourbon,Washed / Wet,7.67,7.25,7.17,7.75,7.5,7.25,10.0,10.0,10.0,81.67,0.11,0,0.0,Green,4,"August 30th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
891,christina dusing,Mexico,ucipa santa catarina,,ecc beneficio veracruz,1506803385,,1200,veracruz,CESAR SANTIZ LOPEZ,275,1 kg,2012,"July 27th, 2012",Bourbon,Washed / Wet,7.5,7.42,7.33,7.42,7.42,7.42,10.0,10.0,10.0,81.67,0.11,0,0.0,Green,2,"July 27th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
892,alfredo bojalil,Mexico,finca nueva linda,,"la concordia, chiapas",2222,ecomtrading,1400,"la concordia, chiapas",OCTAVIO MOGUEL FARRERA,250,1 kg,2012,"April 2nd, 2012",Bourbon,Washed / Wet,7.58,7.42,7.25,7.58,7.25,7.17,10.0,10.0,10.0,81.67,0.11,0,0.0,Green,2,"April 2nd, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
893,miguel cortes moreno,Mexico,sacún palma,,sacún palma,1,"estrategias constructivas corzu, s.a. de c.v.",940,"sacún palma, municipio de chilón, chiapas",ARMANDO GUTIEREZ GUZMÁN,12,1 kg,2012,"February 29th, 2012",Caturra,Semi-washed / Semi-pulped,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10.0,10.0,81.67,0.11,0,0.0,Green,4,"February 28th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
894,kona pacific farmers cooperative,United States (Hawaii),,,,2200305,cqi,,kona,,13,100 lbs,2012,"February 8th, 2012",Hawaiian Kona,Washed / Wet,7.42,7.33,7.33,7.33,7.17,7.83,10.0,10.0,10.0,81.67,0.1,1,0.0,Green,1,"February 7th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
895,mdh,Honduras,various,174.18,cafico,,molinos de honduras,1200,western region,Cafes Finos de Corquin,275,69 kg,2018,"January 19th, 2018",Catimor,Washed / Wet,7.5,7.42,7.08,7.42,7.5,7.33,10.0,10.0,10.0,81.58,0.11,0,1.0,Blue-Green,3,"January 19th, 2019",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880
896,juan luis alvarado romero,Guatemala,la esperanza,11/23/0368,beneficio ixchel,11/23/0368,"unex guatemala, s.a.",190164,huehuetenango,"AGRICOLA EL PILAR, SA.",25,69 kg,2017,"June 1st, 2017",Bourbon,Washed / Wet,7.42,7.42,7.08,7.5,7.42,7.33,10.0,10.0,10.0,81.58,0.12,0,0.0,Green,0,"June 1st, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95
897,"lin, che-hao krude 林哲豪",Taiwan,baishengcun coffee 百勝村咖啡莊園,2016 Washed,baishengcun coffee 百勝村咖啡莊園,Taiwan,taiwan coffee laboratory,800,natou county,蘇晉寬 Su Jin Kuan,20,50 kg,2016,"July 15th, 2016",Typica,Washed / Wet,7.42,7.42,7.25,7.67,7.33,7.25,10.0,10.0,10.0,81.58,0.1,0,0.0,Blue-Green,0,"July 15th, 2017",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
898,"ceca, s.a.",Costa Rica,cafetalera aquiares,,cafetalera aquiares,5-025-024/25,"ceca,s.a.",1.3,turrialba,Cafetalera Aquiares,250,69 kg,2015,"February 3rd, 2015",Caturra,Washed / Wet,7.58,7.42,7.5,7.17,7.08,7.58,10.0,10.0,10.0,81.58,0.12,0,0.0,Green,1,"February 3rd, 2016",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9
899,acacia hills ltd,"Tanzania, United Republic Of",acacia hills,,acacia hills ltd,C30,acacia hills ltd,1800,"oldeani , mongola",Acacia Hills Ltd,100,60 kg,2014,"December 18th, 2014",Other,Washed / Wet,7.42,7.42,7.33,7.42,7.42,7.33,10.0,10.0,10.0,81.58,0.12,0,0.0,Green,5,"December 18th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea
900,afca,Malawi,kavuzi,,mzuzu coffee coop union,C13,mzuzu coffee planters coop union,1100m,mzuzu,Mzuzu Coffee Coop Union,10,60 kg,2014,"October 31st, 2014",Gesha,Washed / Wet,7.42,7.42,7.17,7.58,7.33,7.33,10.0,10.0,10.0,81.58,0.13,0,0.0,Green,0,"October 31st, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea
901,"lin, che-hao krude 林哲豪",Taiwan,jacob's estate 雅谷咖啡,,jacob's estate 雅谷咖啡,Taiwan,"red on tree co., ltd.",850 m,natou county,CHIU WEI LUN 邱偉倫,50,20 kg,2014,"August 25th, 2014",Typica,Semi-washed / Semi-pulped,7.33,7.17,7.08,7.08,8.33,8.25,10.0,10.0,9.33,81.58,0.0,0,0.0,,0,"August 25th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
902,ipanema coffees,Brazil,rio verde,,ipanema coffees,002/1660/0058,ipanema coffees,1260,south of minas,Ipanema Coffees,300,60 kg,2013/2014,"November 6th, 2013",Yellow Bourbon,Washed / Wet,7.42,7.42,7.33,7.33,7.5,7.25,10.0,10.0,10.0,81.58,0.12,0,0.0,Blue-Green,3,"November 6th, 2014",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d
903,juan luis alvarado romero,Guatemala,el morito,,beneficio ixchel,11/23/1014,"unex guatemala, s.a.",4300,oriente,ROBERTO MONTERROSO,250,69 kg,2013,"July 16th, 2013",Bourbon,Washed / Wet,7.42,7.33,7.17,7.58,7.42,7.5,10.0,10.0,10.0,81.58,0.12,0,0.0,Green,1,"July 16th, 2014",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95
904,fredy gordillo reyes,Mexico,union ramal santa cruz,,union ramal santa cruz,2496,union ramal santa cruz spr de ri,1400,"la concordia, chiapas",UNION RAMAL SANTA CRUZ,310,1 kg,2013,"March 29th, 2013",Typica,Washed / Wet,7.67,7.5,7.42,7.5,6.75,7.42,10.0,10.0,10.0,81.58,0.12,0,0.0,Green,9,"March 29th, 2014",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
905,enrique eduardo lopez aguilar,Mexico,las nubes - pante don jaime,,,PCO-031106-CF7,finca santa cruz,1600,la concordia,LUIS ANTONIO LOPEZ AGUILAR,28,1 kg,2012,"June 6th, 2012",Marigojipe,Natural / Dry,7.33,7.5,7.25,7.5,7.5,7.17,10.0,10.0,10.0,81.58,0.11,0,0.0,,0,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
906,enrique eduardo lopez aguilar,Mexico,santa cruz - pante don jaime,,,PCO-031106-CF7,finca santa cruz,1650,la concordia,ENRIQUE EDUARDO LOPEZ AGUILAR,28,1 kg,2012,"June 6th, 2012",Typica,Natural / Dry,7.67,7.58,7.42,7.58,7.58,7.42,10.0,10.0,8.67,81.58,0.11,0,0.0,,2,"June 6th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7
907,doi chaang coffee company,Thailand,"doi chaang coffee original co.,ltd",,peaberry,Thailand/Organic/FT/Peaberry/Crop 2011P,,4921ft,"doi chaang village, chiang rai, thialand",Doi Chaang Community Enterprise Piko,12,50 kg,2011,"November 16th, 2011",,,7.08,7.33,7.58,7.58,7.17,7.5,10.0,10.0,10.0,81.58,0.01,0,0.0,,0,"November 15th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
908,doi tung development project,Thailand,doi tung development project,,,,,,,,1,60 kg,2011,"August 16th, 2011",,,7.33,7.33,7.17,7.5,7.58,7.33,10.0,10.0,10.0,81.58,0.2,0,0.0,,0,"August 15th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
909,benjamin schmerler,Costa Rica,,,,,,4500-6000 feet,tarrazu,CoopeTarrazu,1,60 kg,,"June 14th, 2011",,,7.25,7.17,7.33,7.33,7.5,7.75,10.0,10.0,10.0,81.58,0.0,0,0.0,,1,"June 13th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
910,juan luis alvarado romero,Guatemala,las delicias,11/23/0688,beneficio ixchel,11/23/0688,"unex guatemala, s.a.",4000,santa rosa,OTTO BECKER,50,69 kg,2017,"August 23rd, 2017",Bourbon,Washed / Wet,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10.0,10.0,81.5,0.1,0,0.0,Green,0,"August 23rd, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95
911,"exportadora atlantic, s.a.",Nicaragua,finca las marías,017-053-0211 / 017-053-0212,beneficio atlantic condega,017-053-0211 / 017-053-0212,exportadora atlantic s.a,1100,jalapa,Teófilo Narváez :,550,69 kg,2017,"June 20th, 2017",Caturra,Other,7.5,7.42,7.33,7.33,7.25,7.33,10.0,10.0,10.0,81.5,0.11,0,0.0,Green,3,"June 20th, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880
912,elsy reyes,Honduras,las cuchillas,98,cigrah,13-111-083,cigrah,1400,comayagua,NAHUN MALDONADO,275,69 kg,2017,"June 3rd, 2017",Caturra,Washed / Wet,7.5,7.5,7.33,7.42,7.17,7.25,10.0,10.0,10.0,81.5,0.1,0,0.0,Green,5,"June 3rd, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880
913,juan luis alvarado romero,Guatemala,las delicias,11/23/0367,beneficio ixchel,11/23/0367,"unex guatemala, s.a.",,santa rosa,AGRICOLA MONTE VERDE,50,69 kg,2017,"June 1st, 2017",Bourbon,,7.5,7.42,7.25,7.25,7.5,7.25,10.0,10.0,10.0,81.5,0.12,0,0.0,Green,0,"June 1st, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95
914,cqi taiwan icp cqi台灣合作夥伴,Taiwan,谷泉咖啡莊園,,寶島咖啡,123,宸嶧國際,160-200m,古坑鄉荷包村尖山坑60號,劉易騰,123,2 kg,2015,"September 17th, 2015",Typica,Natural / Dry,7.5,7.42,7.33,7.08,7.58,7.25,10.0,10.0,10.0,81.5,0.12,0,0.0,Green,2,"September 16th, 2016",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0
